Name*Surname*Surname1*Surname2*account*Dni*Delegation*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer*Path*Group*Teletrabajo
BASILIO*PUJOL GOMIS*PUJOL*GOMIS*BPUJOLG*12345685-H*Altamira*Dep-Datos*S*Altamira-default951!*45*pujolgomisbasilio@altamira.com*L-D,08:00-19:00*W11-Datos-01*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
MIRIAM*JUAN VALENCIA*JUAN*VALENCIA*MJUANV*12345686-I*Altamira*Dep-Datos*S*Altamira-default951!*45*juanvalenciamiriam@altamira.com*L-D,08:00-19:00*W11-Datos-02*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
IGNACIO*CHAVES VARGAS*CHAVES*VARGAS*ICHAVESV*12345687-J*Altamira*Dep-Datos*S*Altamira-default951!*45*chavesvargasignacio@altamira.com*L-D,08:00-19:00*W11-Datos-03*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
LAURA*ALBA ARIAS*ALBA*ARIAS*LALBAA*12345688-K*Altamira*Dep-Datos*S*Altamira-default951!*45*albaariaslaura@altamira.com*L-D,08:00-19:00*W11-Datos-04*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
JORGE*CARVALHO PELLICER*CARVALHO*PELLICER*JCARVALHOP*12345689-L*Altamira*Dep-Datos*S*Altamira-default951!*45*carvalhopellicerjorge@altamira.com*L-D,08:00-19:00*W11-Datos-05*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
ANTONIO*CAMPOS GALLEGO*CAMPOS*GALLEGO*ACAMPOSG*12345690-M*Altamira*Dep-Datos*S*Altamira-default951!*45*camposgallegoantonio@altamira.com*L-D,08:00-19:00*W11-Datos-06*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*S
CLAUDIO*MONCHO AGUILAR*MONCHO*AGUILAR*CMONCHOA*12345691-N*Altamira*Dep-Datos*S*Altamira-default951!*45*monchoaguilarclaudio@altamira.com*L-D,08:00-19:00*W11-Datos-07*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*S
PEPE*CHAVES CAMPOS*CHAVES*CAMPOS*PCHAVESC*12345692-O*Altamira*Dep-Datos*S*Altamira-default951!*45*chavescampospepe@altamira.com*L-D,08:00-19:00*W11-Datos-08*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
SARA*ALBA MONCHO*ALBA*MONCHO*SALBAM*12345693-P*Altamira*Dep-Datos*S*Altamira-default951!*45*albamonchosara@altamira.com*L-D,08:00-19:00*W11-Datos-09*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
ISABEL*CARVALHO ALABAU*CARVALHO*ALABAU*ICARVALHOA*12345694-Q*Altamira*Dep-Datos*S*Altamira-default951!*45*carvalhoalabauisabel@altamira.com*L-D,08:00-19:00*W11-Datos-10*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
FRANCISCO*CAMPOS GOMIS*CAMPOS*GOMIS*FCAMPOSG*12345695-R*Altamira*Dep-Datos*S*Altamira-default951!*45*camposgomisfrancisco@altamira.com*L-D,08:00-19:00*W11-Datos-11*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*S
BASILIO*MONCHO COELLO*MONCHO*COELLO*BMONCHOC*12345696-S*Altamira*Dep-Datos*S*Altamira-default951!*45*monchocoellobasilio@altamira.com*L-D,08:00-19:00*W11-Datos-12*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
MIRIAM*JUAN PUJOL*JUAN*PUJOL*MJUANP*12345697-T*Altamira*Dep-Datos*S*Altamira-default951!*45*juanpujolmiriam@altamira.com*L-D,08:00-19:00*W11-Datos-13*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
IGNACIO*CHAVES JUAN*CHAVES*JUAN*ICHAVESJ*12345698-U*Altamira*Dep-Datos*S*Altamira-default951!*45*chavesjuanignacio@altamira.com*L-D,08:00-19:00*W11-Datos-14*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
LAURA*ALBA COELLO*ALBA*COELLO*LALBAC*12345699-V*Altamira*Dep-Datos*S*Altamira-default951!*45*albacoellolaura@altamira.com*L-D,08:00-19:00*W11-Datos-15*OU=Dep-Datos,dc=altamira,dc=mylocal*SI-GG-DepDatos*N
JORGE*CARVALHO GOMIS*CARVALHO*GOMIS*JCARVALHOG*12345700-W*Altamira*Dep-Soporte*S*Altamira-default951!*45*carvalhogomisjorge@altamira.com*L-D,09:00-17:00*UD24-Soporte-01*OU=Dep-Soporte,dc=altamira,dc=mylocal*SI-GG-DepSoporte*S
